DRPM,GP,MPG,ORPM,RPM,Season_End_Year,Season_Start_Year,WINS,names
0.98,80,19.8,-1.80,-0.82,2014,2013,1.55,Kentavious Caldwell-Pope
-2.86,78,27.7,1.97,-0.89,2014,2013,1.88,Martell Webster
-1.68,78,28.1,1.43,-0.25,2014,2013,2.82,Alec Burks
0.55,20,11.8,-0.84,-0.29,2014,2013,0.28,James Jones
-0.78,82,22.0,0.49,-0.29,2014,2013,2.34,Marcus Morris
0.69,73,13.0,-1.01,-0.32,2014,2013,1.23,Jeff Ayres
-1.20,73,20.4,0.86,-0.34,2014,2013,1.84,Shelvin Mack
0.37,76,19.8,-0.73,-0.36,2014,2013,1.97,Evan Fournier
0.06,62,31.1,-0.45,-0.39,2014,2013,2.46,Wilson Chandler
1.85,33,5.6,-2.34,-0.49,2014,2013,0.22,Joel Anthony
0.08,73,34.7,-0.61,-0.53,2014,2013,2.76,Bradley Beal
0.98,73,29.0,-1.52,-0.54,2014,2013,2.22,Kirk Hinrich
0.97,80,31.1,-1.53,-0.56,2014,2013,2.73,Victor Oladipo
-2.96,73,26.5,2.38,-0.58,2014,2013,2.02,Ray Allen
-0.49,76,26.0,-0.11,-0.60,2014,2013,2.05,Shaun Livingston
-2.38,69,30.3,1.75,-0.63,2014,2013,2.30,Jamal Crawford
0.13,34,15.0,-0.77,-0.64,2014,2013,0.53,Al Harrington
0.14,34,7.0,-0.87,-0.73,2014,2013,0.24,Luigi Datome
-0.80,15,18.0,0.04,-0.76,2014,2013,0.26,Quincy Pondexter
-0.11,51,7.3,-0.66,-0.77,2014,2013,0.37,Toure' Murry
-1.83,27,17.5,1.01,-0.82,2014,2013,0.43,Luke Babbitt
0.53,62,15.4,-1.37,-0.84,2014,2013,0.94,Donatas Motiejunas
1.61,73,30.2,-2.54,-0.93,2014,2013,1.90,Derrick Favors
-0.14,82,28.5,-0.83,-0.97,2014,2013,2.03,Kyle Singler
-1.51,5,15.0,0.51,-1.00,2014,2013,0.06,Troy Daniels
-1.45,41,15.7,0.42,-1.03,2014,2013,0.52,Beno Udrih
2.02,65,16.5,-3.07,-1.05,2014,2013,0.91,Lavoy Allen
-0.14,11,9.1,-0.94,-1.08,2014,2013,0.08,Greg Smith
1.72,73,19.4,-2.84,-1.12,2014,2013,1.09,Elton Brand
-1.80,77,24.6,0.66,-1.14,2014,2013,1.40,Giannis Antetokounmpo
-1.93,41,6.5,0.76,-1.17,2014,2013,0.18,Chris Copeland
-0.22,8,7.9,-0.98,-1.20,2014,2013,0.04,Malcolm Thomas
-3.25,70,32.3,2.02,-1.23,2014,2013,1.54,Trey Burke
0.80,46,7.2,-2.06,-1.26,2014,2013,0.22,Cole Aldrich
-1.19,40,19.7,-0.08,-1.27,2014,2013,0.53,Chris Johnson
-1.71,70,20.0,0.38,-1.33,2014,2013,0.90,Kelly Olynyk
2.72,31,19.5,-4.10,-1.38,2014,2013,0.37,Ronny Turiaf
-1.90,76,27.3,0.49,-1.41,2014,2013,1.23,Terrence Jones
-1.58,45,8.7,0.15,-1.43,2014,2013,0.23,Wayne Ellington
-3.03,82,20.8,1.59,-1.44,2014,2013,0.93,Mike Miller
-1.80,51,13.2,0.32,-1.48,2014,2013,0.36,Toney Douglas
-3.24,73,26.7,1.73,-1.51,2014,2013,1.02,Rodney Stuckey
-1.92,30,33.3,0.99,-0.93,2014,2013,0.89,Rajon Rondo
-0.79,38,12.5,-0.14,-0.93,2014,2013,0.41,CJ McCollum
2.22,68,24.4,-3.22,-1.00,2014,2013,1.35,Glen Davis
-1.92,64,28.3,0.91,-1.01,2014,2013,1.57,Nick Young
0.67,76,31.7,-1.72,-1.05,2014,2013,1.94,Shawn Marion
-0.84,79,32.2,-0.22,-1.06,2014,2013,2.05,Jeff Teague
0.35,76,25.6,-1.46,-1.11,2014,2013,1.42,Tayshaun Prince
0.14,81,20.2,-1.28,-1.14,2014,2013,1.24,Dante Cunningham
3.58,23,8.3,-4.74,-1.16,2014,2013,0.15,Hasheem Thabeet
3.75,77,16.2,-4.93,-1.18,2014,2013,0.89,Ian Mahinmi
0.34,40,10.0,-1.56,-1.22,2014,2013,0.29,Andre Roberson
0.11,7,4.9,-1.35,-1.24,2014,2013,0.02,Robert Covington
-1.22,81,30.7,-0.05,-1.27,2014,2013,1.76,Randy Foye
-0.97,78,19.7,-0.33,-1.30,2014,2013,1.01,Jeremy Lamb
1.05,46,19.0,-2.41,-1.36,2014,2013,0.55,Henry Sims
-3.38,71,35.2,1.98,-1.40,2014,2013,1.45,Kyrie Irving
-0.43,53,18.1,-0.99,-1.42,2014,2013,0.55,Jeff Adrien
-2.38,81,26.7,0.95,-1.43,2014,2013,1.22,Terrence Ross
-1.81,76,18.8,0.34,-1.47,2014,2013,0.75,Anthony Morrow
-1.04,15,6.7,-0.44,-1.48,2014,2013,0.05,Allen Crabbe
-1.11,82,28.4,-0.43,-1.54,2014,2013,1.20,Gerald Green
0.54,52,18.4,-2.12,-1.58,2014,2013,0.44,James Johnson
1.93,22,7.8,-3.59,-1.66,2014,2013,0.08,Jason Collins
-2.16,54,29.0,0.49,-1.67,2014,2013,0.70,Kendall Marshall
-3.56,81,30.5,1.87,-1.69,2014,2013,1.02,Jose Calderon
-3.23,80,25.9,1.51,-1.72,2014,2013,0.82,Darren Collison
0.83,24,14.1,-2.61,-1.78,2014,2013,0.13,Jarvis Varnado
-1.26,52,15.2,-0.54,-1.80,2014,2013,0.29,Quincy Miller
0.39,80,30.9,-2.24,-1.85,2014,2013,0.79,Spencer Hawes
0.20,78,15.6,-2.09,-1.89,2014,2013,0.35,DeJuan Blair
-0.55,62,12.3,-1.36,-1.91,2014,2013,0.21,Perry Jones
0.53,11,9.9,-2.45,-1.92,2014,2013,0.03,Glen Rice Jr.
-0.59,26,6.0,-1.35,-1.94,2014,2013,0.04,Tornike Shengelia
0.92,56,17.0,-2.89,-1.97,2014,2013,0.22,Alexis Ajinca
-0.25,78,22.1,-1.74,-1.99,2014,2013,0.37,John Salmons
-0.64,11,3.0,-1.36,-2.00,2014,2013,0.01,Ricky Ledo
-1.47,22,18.0,-0.55,-2.02,2014,2013,0.07,Drew Gooden
0.00,3,3.0,-2.03,-2.03,2014,2013,0.00,Royce White
0.46,55,19.7,-2.52,-2.06,2014,2013,0.20,Francisco Garcia
-0.02,1,19.0,-2.06,-2.08,2014,2013,0.00,Josh Powell
-1.20,20,18.4,-0.32,-1.52,2014,2013,0.19,Leandro Barbosa
-0.84,28,8.1,-0.71,-1.55,2014,2013,0.10,Solomon Hill
-0.13,75,8.5,-1.49,-1.62,2014,2013,0.28,Garrett Temple
-0.35,55,27.2,-1.31,-1.66,2014,2013,0.67,Steve Blake
0.64,69,19.9,-2.32,-1.68,2014,2013,0.57,Kris Humphries
0.78,5,10.0,-2.48,-1.70,2014,2013,0.02,Damion James
1.55,80,24.6,-3.32,-1.77,2014,2013,0.72,Miles Plumlee
-0.95,9,12.9,-0.84,-1.79,2014,2013,0.04,Casper Ware
-0.13,23,7.5,-1.67,-1.80,2014,2013,0.06,Ian Clark
-0.67,14,10.4,-1.18,-1.85,2014,2013,0.04,Dwight Buycks
0.03,43,21.1,-1.92,-1.89,2014,2013,0.28,Xavier Henry
-0.43,82,27.6,-1.49,-1.92,2014,2013,0.61,Brandon Bass
-2.32,45,19.9,0.40,-1.92,2014,2013,0.23,Ray McCallum
1.03,52,14.0,-3.00,-1.97,2014,2013,0.17,Joel Freeland
-1.03,61,30.3,-0.94,-1.97,2014,2013,0.42,Tobias Harris
-0.02,64,11.6,-1.97,-1.99,2014,2013,0.17,Jonas Jerebko
2.29,44,20.1,-4.30,-2.01,2014,2013,0.18,Jermaine O'Neal
-3.73,60,24.1,1.70,-2.03,2014,2013,0.28,Lou Williams
-2.08,72,19.4,0.04,-2.04,2014,2013,0.27,Mirza Teletovic
-1.30,82,31.6,-0.76,-2.06,2014,2013,0.46,Tristan Thompson
-1.15,80,28.9,-0.93,-2.08,2014,2013,0.41,James Anderson
-0.22,8,9.0,-1.89,-2.11,2014,2013,0.01,Justin Hamilton
3.71,55,18.3,-5.84,-2.13,2014,2013,0.13,Greg Stiemsma
-0.58,21,3.8,-1.62,-2.20,2014,2013,0.00,Tony Mitchell
-1.08,49,13.1,-1.15,-2.23,2014,2013,0.05,Jon Leuer
-1.44,63,13.4,-0.80,-2.24,2014,2013,0.06,Quincy Acy
0.79,82,17.3,-3.04,-2.25,2014,2013,0.09,Cody Zeller
1.79,45,9.6,-4.05,-2.26,2014,2013,0.02,Rudy Gobert
-3.50,82,30.0,1.22,-2.28,2014,2013,0.10,Khris Middleton
-1.17,75,15.1,-1.12,-2.29,2014,2013,0.04,Phil Pressey
-0.79,3,5.0,-1.51,-2.30,2014,2013,0.00,D.J. Stephens
-0.37,22,6.7,-1.94,-2.31,2014,2013,0.00,Austin Daye
-1.76,19,16.3,-0.62,-2.38,2014,2013,-0.01,Chauncey Billups
-0.93,20,9.0,-1.46,-2.39,2014,2013,0.00,Charlie Villanueva
-1.11,55,15.8,-1.30,-2.41,2014,2013,-0.03,Willie Green
-0.63,2,13.5,-1.81,-2.44,2014,2013,0.00,Melvin Ely
-3.03,69,19.4,0.56,-2.47,2014,2013,-0.10,Austin Rivers
-1.08,48,10.2,-1.45,-2.53,2014,2013,-0.05,Shane Larkin
-0.92,3,3.7,-1.63,-2.55,2014,2013,0.00,Mustafa Shakur
1.38,63,15.2,-3.95,-2.57,2014,2013,-0.13,Ed Davis
-2.98,83,26.7,0.90,-2.08,2014,2013,0.37,Ramon Sessions
-0.82,7,5.4,-1.26,-2.08,2014,2013,0.01,Carrick Felix
-0.13,21,8.8,-1.99,-2.12,2014,2013,0.02,Victor Claver
-0.29,60,16.2,-1.89,-2.18,2014,2013,0.10,Rashard Lewis
-1.09,68,14.5,-1.14,-2.23,2014,2013,0.07,Dorell Wright
-0.68,2,3.5,-1.55,-2.23,2014,2013,0.00,Scotty Hopson
-0.27,24,6.7,-1.98,-2.25,2014,2013,0.01,Earl Watson
-0.81,21,7.7,-1.45,-2.26,2014,2013,0.01,Jamaal Franklin
0.50,66,18.3,-2.78,-2.28,2014,2013,0.05,Jeremy Evans
-2.34,72,24.2,0.05,-2.29,2014,2013,0.06,Marcus Thornton
-1.04,2,6.5,-1.26,-2.30,2014,2013,0.00,Seth Curry
0.33,71,18.1,-2.64,-2.31,2014,2013,0.03,Omri Casspi
-1.11,18,12.9,-1.23,-2.34,2014,2013,0.00,Carl Landry
-1.22,78,22.7,-1.16,-2.38,2014,2013,-0.03,Alan Anderson
0.92,70,14.4,-3.32,-2.40,2014,2013,-0.03,Ish Smith
-0.27,82,34.2,-2.14,-2.41,2014,2013,-0.11,Jeff Green
0.15,54,16.6,-2.59,-2.44,2014,2013,-0.05,Reggie Evans
0.06,65,16.8,-2.56,-2.50,2014,2013,-0.11,Robert Sacre
2.56,6,7.5,-5.11,-2.55,2014,2013,-0.01,Andris Biedrins
0.32,31,12.6,-2.87,-2.55,2014,2013,-0.05,Dewayne Dedmon
-0.33,13,12.7,-2.36,-2.69,2014,2013,-0.04,James Nunnally
0.46,43,9.2,-3.18,-2.72,2014,2013,-0.09,Reggie Bullock
-2.49,81,23.0,-0.24,-2.73,2014,2013,-0.45,Jordan Crawford
-0.27,48,9.7,-2.47,-2.74,2014,2013,-0.11,Miroslav Raduljica
-1.47,31,6.4,-1.31,-2.78,2014,2013,-0.05,Dionte Christmas
-1.28,81,30.3,-1.51,-2.79,2014,2013,-0.70,Evan Turner
-1.37,21,5.7,-1.45,-2.82,2014,2013,-0.03,Julyan Stone
-1.35,52,25.9,-1.50,-2.85,2014,2013,-0.41,O.J. Mayo
-0.48,78,28.3,-2.40,-2.88,2014,2013,-0.74,Harrison Barnes
-4.75,64,32.1,1.85,-2.90,2014,2013,-0.70,Eric Gordon
0.19,30,4.9,-3.15,-2.96,2014,2013,-0.06,Bernard James
0.55,82,17.1,-3.58,-3.03,2014,2013,-0.58,Luis Scola
-1.62,70,18.2,-1.42,-3.04,2014,2013,-0.53,Mason Plumlee
-1.74,82,24.6,-1.32,-3.06,2014,2013,-0.84,Norris Cole
-0.83,6,9.2,-2.24,-3.07,2014,2013,-0.02,Keith Bogans
1.68,53,10.9,-4.77,-3.09,2014,2013,-0.26,Kevin Seraphin
-3.84,72,21.6,0.70,-3.14,2014,2013,-0.79,Aaron Brooks
-1.98,72,33.3,-1.20,-3.18,2014,2013,-1.21,Brandon Knight
-1.61,80,28.2,-1.59,-3.20,2014,2013,-1.16,Jarrett Jack
-0.23,42,8.6,-3.02,-3.25,2014,2013,-0.21,Alex Len
-0.96,77,32.0,-1.66,-2.62,2014,2013,-0.39,Gerald Henderson
-0.40,81,28.2,-2.30,-2.70,2014,2013,-0.48,Jonas Valanciunas
-2.94,74,24.8,0.21,-2.73,2014,2013,-0.43,Mo Williams
-0.68,78,23.3,-2.05,-2.73,2014,2013,-0.43,Derrick Williams
-2.02,38,11.0,-0.76,-2.78,2014,2013,-0.11,Brandon Rush
-0.51,59,14.7,-2.28,-2.79,2014,2013,-0.24,Cartier Martin
-0.46,14,9.4,-2.34,-2.80,2014,2013,-0.04,Chris Babb
-3.68,72,23.4,0.84,-2.84,2014,2013,-0.50,Jerryd Bayless
0.21,31,12.2,-3.09,-2.88,2014,2013,-0.12,Ronnie Price
0.04,64,15.3,-2.93,-2.89,2014,2013,-0.32,Tyler Hansbrough
-3.72,72,28.2,0.76,-2.96,2014,2013,-0.75,Tyreke Evans
-3.63,41,22.2,0.64,-2.99,2014,2013,-0.38,Jordan Farmar
-1.22,60,17.0,-1.81,-3.03,2014,2013,-0.45,Jordan Hamilton
-2.10,70,34.5,-0.95,-3.05,2014,2013,-1.11,Michael Carter-Williams
-1.14,82,27.0,-1.93,-3.07,2014,2013,-0.96,Richard Jefferson
-0.76,63,16.9,-2.33,-3.09,2014,2013,-0.49,Travis Outlaw
1.68,80,7.0,-4.80,-3.12,2014,2013,-0.24,Nazr Mohammed
-3.63,80,25.2,0.46,-3.17,2014,2013,-1.04,Marco Belinelli
-2.95,73,35.0,-0.24,-3.19,2014,2013,-1.30,Arron Afflalo
-1.33,79,18.6,-1.90,-3.23,2014,2013,-0.81,J.J. Barea
-1.50,47,10.5,-1.82,-3.32,2014,2013,-0.29,Nando De Colo
