DRPM,GP,MPG,ORPM,RPM,Season_End_Year,season_id,WINS,names,name_length_post_split,First_Name,Last_Name,Game_id,Person_id,Team_id,Season_Total_Minutes,Season_Total_Minutes*RPM
0.58,81,18.9,3.42,4.0,2014,2013,6.07,Patty Mills,2,Patty,Mills,21300013.0,201988.0,1610612759.0,1530.8999999999999,6123.599999999999
6.6,54,20.5,-2.78,3.82,2014,2013,4.02,Kevin Garnett,2,Kevin,Garnett,21300004.0,708.0,1610612751.0,1107.0,4228.74
2.37,80,30.9,1.23,3.6,2014,2013,8.87,David West,2,David,West,21300001.0,2561.0,1610612754.0,2472.0,8899.2
3.37,82,35.0,0.19,3.56,2014,2013,10.85,DeAndre Jordan,2,DeAndre,Jordan,21300003.0,201599.0,1610612746.0,2870.0,10217.2
2.72,68,24.3,0.79,3.51,2014,2013,6.13,Danny Green,2,Danny,Green,21300013.0,201980.0,1610612759.0,1652.4,5799.924
3.99,82,21.9,-0.49,3.5,2014,2013,6.54,Draymond Green,2,Draymond,Green,21300017.0,203110.0,1610612744.0,1795.8,6285.3
-1.08,62,35.8,4.38,3.3,2014,2013,8.32,Ty Lawson,2,Ty,Lawson,21300016.0,201951.0,1610612743.0,2219.6,7324.679999999999
0.43,77,37.7,8.65,9.08,2014,2013,19.87,LeBron James,2,LeBron,James,21300002.0,2544.0,1610612748.0,2902.9,26358.332000000002
4.74,63,32.4,1.89,6.63,2014,2013,11.47,Andre Iguodala,2,Andre,Iguodala,21300017.0,2738.0,1610612744.0,2041.1999999999998,13533.155999999999
1.79,80,32.9,4.56,6.35,2014,2013,14.05,Dirk Nowitzki,2,Dirk,Nowitzki,21300012.0,1717.0,1610612742.0,2632.0,16713.2
3.64,81,16.7,2.08,5.72,2014,2013,6.9,Nick Collison,2,Nick,Collison,21300014.0,2555.0,1610612760.0,1352.7,7737.4439999999995
5.38,74,29.2,-0.05,5.33,2014,2013,10.39,Tim Duncan,2,Tim,Duncan,21300013.0,1495.0,1610612759.0,2160.7999999999997,11517.063999999998
1.17,82,28.2,3.92,5.09,2014,2013,10.83,Channing Frye,2,Channing,Frye,21300015.0,101112.0,1610612756.0,2312.4,11770.116
0.23,46,30.7,4.82,5.05,2014,2013,6.89,Russell Westbrook,2,Russell,Westbrook,21300044.0,201566.0,1610612760.0,1412.2,7131.61
2.0,80,35.8,2.65,4.65,2014,2013,12.79,Blake Griffin,2,Blake,Griffin,21300003.0,201933.0,1610612746.0,2864.0,13317.6
3.92,80,35.3,0.65,4.57,2014,2013,11.3,Joakim Noah,2,Joakim,Noah,21300002.0,201149.0,1610612741.0,2824.0,12905.68
3.23,81,32.9,1.23,4.46,2014,2013,11.63,Serge Ibaka,2,Serge,Ibaka,21300014.0,201586.0,1610612760.0,2664.9,11885.454
0.41,79,36.2,3.84,4.25,2014,2013,11.56,Kyle Lowry,2,Kyle,Lowry,21300006.0,200768.0,1610612761.0,2859.8,12154.150000000001
3.64,82,28.7,0.56,4.2,2014,2013,8.84,Taj Gibson,2,Taj,Gibson,21300002.0,201959.0,1610612741.0,2353.4,9884.28
3.97,43,32.9,0.11,4.08,2014,2013,5.79,Eric Bledsoe,2,Eric,Bledsoe,21300015.0,202339.0,1610612756.0,1414.7,5771.976000000001
3.81,72,19.4,0.19,4.0,2014,2013,5.17,Chris Andersen,2,Chris,Andersen,21300002.0,2365.0,1610612748.0,1396.8,5587.2
2.47,82,32.2,1.43,3.9,2014,2013,10.76,Ricky Rubio,2,Ricky,Rubio,21300010.0,201937.0,1610612750.0,2640.4,10297.56
3.75,55,30.2,-0.08,3.67,2014,2013,5.8,Tyson Chandler,2,Tyson,Chandler,21300008.0,2199.0,1610612752.0,1661.0,6095.87
5.23,59,33.4,-1.64,3.59,2014,2013,6.87,Marc Gasol,2,Marc,Gasol,21300013.0,201188.0,1610612763.0,1970.6,7074.454
4.53,59,21.5,-1.01,3.52,2014,2013,4.7,Tiago Splitter,2,Tiago,Splitter,21300013.0,201168.0,1610612759.0,1268.5,4465.12
2.19,54,30.8,1.31,3.5,2014,2013,6.37,Nikola Pekovic,2,Nikola,Pekovic,21300010.0,201593.0,1610612750.0,1663.2,5821.2
-1.14,76,35.1,4.57,3.43,2014,2013,9.73,Goran Dragic,2,Goran,Dragic,21300015.0,201609.0,1610612756.0,2667.6,9149.868
1.92,73,32.1,1.29,3.21,2014,2013,8.1,DeMarre Carroll,2,DeMarre,Carroll,21300012.0,201960.0,1610612737.0,2343.3,7521.993
3.04,79,32.0,0.14,3.18,2014,2013,8.41,Chris Bosh,2,Chris,Bosh,21300002.0,2547.0,1610612748.0,2528.0,8039.04
1.91,82,31.5,1.16,3.07,2014,2013,8.22,Mike Dunleavy,2,Mike,Dunleavy,21300002.0,2399.0,1610612741.0,2583.0,7929.8099999999995
1.82,63,35.1,1.15,2.97,2014,2013,7.0,Luol Deng,2,Luol,Deng,21300002.0,2736.0,1610612741.0,2211.3,6567.561000000001
-1.95,82,35.8,4.74,2.79,2014,2013,9.4,Damian Lillard,2,Damian,Lillard,21300015.0,203081.0,1610612757.0,2935.6,8190.324
-0.8,79,32.6,3.55,2.75,2014,2013,7.8,Joe Johnson,2,Joe,Johnson,21300004.0,2207.0,1610612751.0,2575.4,7082.35
2.58,80,36.2,0.16,2.74,2014,2013,8.88,Paul George,2,Paul,George,21300001.0,202331.0,1610612754.0,2896.0,7935.040000000001
0.81,66,19.4,1.73,2.54,2014,2013,3.61,Pablo Prigioni,2,Pablo,Prigioni,21300008.0,203143.0,1610612752.0,1280.3999999999999,3252.216
0.56,76,32.0,1.93,2.49,2014,2013,7.03,George Hill,2,George,Hill,21300001.0,201588.0,1610612754.0,2432.0,6055.68
2.0,34,33.6,0.41,2.41,2014,2013,3.33,Jrue Holiday,2,Jrue,Holiday,21300011.0,201950.0,1610612740.0,1142.4,2753.184
2.74,55,23.2,-0.41,2.33,2014,2013,3.61,Tony Allen,2,Tony,Allen,21300013.0,2754.0,1610612763.0,1276.0,2973.08
